time_ms,V_mV,m,h,n,I_inj_uA_per_cm2
2.96,-64.99315982116471,0.05297376746501003,0.5960751930529259,0.31770606293367065,0.0
2.97,-64.99315243723726,0.0529738275896325,0.5960749656130349,0.317706201582243,0.0
2.98,-64.99314514323555,0.05297388712284764,0.5960747381369167,0.31770634018413674,0.0
2.99,-64.99313793893496,0.05297394606591404,0.5960745106283079,0.3177064787369123,0.0
3.0,-64.99313082411005,0.052974004420096296,0.5960742830909312,0.317706617238141,0.0
3.0100000000000002,-64.99312379853464,0.05297406218666501,0.596074055528496,0.31770675568540463,0.0
3.02,-64.99311686198178,0.05297411936689673,0.5960738279446978,0.3177068940762961,0.0
3.0300000000000002,-64.99311001422373,0.05297417596207386,0.5960736003432183,0.3177070324084189,0.0
3.04,-64.99310325503207,0.05297423197348468,0.5960733727277259,0.3177071706793874,0.0
3.0500000000000003,-64.99309658417756,0.052974287402423235,0.596073145101875,0.3177073088868267,0.0
3.06,-64.99309000143029,0.05297434225018934,0.5960729174693067,0.31770744702837267,0.0
3.0700000000000003,-64.99308350655957,0.052974396518088496,0.5960726898336478,0.317707585101672,0.0
3.08,-64.99307709933403,0.05297445020743185,0.5960724621985118,0.3177077231043823,0.0
3.09,-64.99307077952156,0.052974503319536154,0.5960722345674985,0.31770786103417165,0.0
